2026-08-24 13:57:32 INFO     [SA_03] 1 Сегодня хорошая погода. | pause: 2658 | repeat: 1
2026-08-24 13:57:32 INFO     [SA_03] 2 Я решил пойти прогуляться. | pause: 2916 | repeat: 1
2026-08-24 13:57:32 INFO     [SA_03] 3 По дороге я встретил старого друга. | pause: 3450 | repeat: 1
2026-08-24 13:57:32 INFO     [SA_03] 4 Мы немного поговорили и пошли дальше. | pause: 3462 | repeat: 1
2026-08-24 13:57:32 INFO     [SA_03] ==============================
2026-08-24 13:57:32 INFO     [SA_03] 
2026-08-24 13:57:38 DEBUG    [SA_03] Button: play
2026-08-24 13:58:21 DEBUG    [SA_03] Button: settings
2026-08-24 13:58:21 DEBUG    [SA_03] INITIAL ITEM: phrase_code = ru phrase_locale = ru-RU phrase_voice = ru-RU-SvetlanaNeural
2026-08-24 13:58:21 DEBUG    [SA_03] INITIAL SOURCE: language = ru locale = ru-RU voice = 
2026-08-24 13:58:21 DEBUG    [SA_03] Target language: en
2026-08-24 13:58:21 DEBUG    [SA_03] Target locale: en-US
2026-08-24 13:58:32 DEBUG    [SA_03] Target language: it
2026-08-24 13:58:33 DEBUG    [SA_03] Target locale: it-IT
2026-08-24 13:58:41 ERROR    [SA_03] Checking source language before generation...
2026-08-24 13:58:43 INFO     [SA_03] Detected language: ru
2026-08-24 13:58:43 DEBUG    [SA_03] Generate language check: source = ru detected = ru
2026-08-24 13:58:43 DEBUG    [SA_03] Source language matches.
2026-08-24 13:58:43 INFO     [SA_03] Generator: ShadowingGenerator
2026-08-24 13:58:43 INFO     [SA_03] Generating plan...
2026-08-24 13:58:46 INFO     [SA_03] 
2026-08-24 13:58:46 INFO     [SA_03] ==============
2026-08-24 13:58:46 INFO     [SA_03] PLAN GENERATED
2026-08-24 13:58:46 INFO     [SA_03] ==============
2026-08-24 13:58:46 INFO     [SA_03] Items: 4
2026-08-24 13:58:46 INFO     [SA_03] --------------
2026-08-24 13:58:46 INFO     [SA_03] 1 Сегодня хорошая погода. | pause: 886 | repeat: 1
2026-08-24 13:58:46 INFO     [SA_03] 2 Я решил пойти прогуляться. | pause: 972 | repeat: 1
2026-08-24 13:58:46 INFO     [SA_03] 3 По дороге я встретил старого друга. | pause: 1150 | repeat: 1
2026-08-24 13:58:46 INFO     [SA_03] 4 Мы немного поговорили и пошли дальше. | pause: 1154 | repeat: 1
2026-08-24 13:58:46 INFO     [SA_03] ==============================
2026-08-24 13:58:46 INFO     [SA_03] 
2026-08-24 13:58:51 DEBUG    [SA_03] Button: play
2026-08-24 13:59:40 DEBUG    [SA_03] Button: settings
2026-08-24 13:59:40 DEBUG    [SA_03] INITIAL ITEM: phrase_code = ru phrase_locale = ru-RU phrase_voice = ru-RU-SvetlanaNeural
2026-08-24 13:59:40 DEBUG    [SA_03] INITIAL SOURCE: language = ru locale = ru-RU voice = 
2026-08-24 13:59:40 DEBUG    [SA_03] Target language: en
2026-08-24 13:59:40 DEBUG    [SA_03] Target locale: en-US
2026-08-24 14:00:00 DEBUG    [SA_03] Target language: fr
2026-08-24 14:00:00 DEBUG    [SA_03] Target locale: fr-BE
2026-08-24 14:00:04 DEBUG    [SA_03] Target locale: fr-FR
2026-08-24 14:00:09 DEBUG    [SA_03] Target voice: fr-FR-DeniseNeural
2026-08-24 14:00:10 ERROR    [SA_03] Checking source language before generation...
2026-08-24 14:00:12 INFO     [SA_03] Detected language: ru
2026-08-24 14:00:12 DEBUG    [SA_03] Generate language check: source = ru detected = ru
2026-08-24 14:00:12 DEBUG    [SA_03] Source language matches.
2026-08-24 14:00:12 INFO     [SA_03] Generator: ShadowingGenerator
2026-08-24 14:00:12 INFO     [SA_03] Generating plan...
2026-08-24 14:00:16 INFO     [SA_03] 
2026-08-24 14:00:16 INFO     [SA_03] ==============
2026-08-24 14:00:16 INFO     [SA_03] PLAN GENERATED
2026-08-24 14:00:16 INFO     [SA_03] ==============
2026-08-24 14:00:16 INFO     [SA_03] Items: 4
2026-08-24 14:00:16 INFO     [SA_03] --------------
2026-08-24 14:00:16 INFO     [SA_03] 1 Сегодня хорошая погода. | pause: 886 | repeat: 1
2026-08-24 14:00:16 INFO     [SA_03] 2 Я решил пойти прогуляться. | pause: 972 | repeat: 1
2026-08-24 14:00:16 INFO     [SA_03] 3 По дороге я встретил старого друга. | pause: 1150 | repeat: 1
2026-08-24 14:00:16 INFO     [SA_03] 4 Мы немного поговорили и пошли дальше. | pause: 1154 | repeat: 1
2026-08-24 14:00:16 INFO     [SA_03] ==============================
2026-08-24 14:00:16 INFO     [SA_03] 
2026-08-24 14:00:21 DEBUG    [SA_03] Button: play
2026-08-24 14:01:21 INFO     [SA_03] Finsh Application
2026-08-24 14:10:43 INFO     [SA_03] Start Application
2026-08-24 14:10:44 DEBUG    [SA_03] INITIAL ITEM: phrase_code = ru phrase_locale = ru-RU phrase_voice = ru-RU-SvetlanaNeural
2026-08-24 14:10:44 DEBUG    [SA_03] INITIAL SOURCE: language = ru locale = ru-RU voice = 
2026-08-24 14:10:47 DEBUG    [SA_03] Button: play
